state_name,block_code,stage2_works_api,stage2_works_db,delta_fetch_stage2,works_sent_mq,works_processed_function_app,delta_processed_stage2,flagged_works_ai_rule,flagged_works_percen_ai_rule,stage2_works_sent_nic,last_updated_datetime
Andhar Pradesh,0202021,6,6.0,0.0,0.0,12.0,-12.0,0.0,0.0,12.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0202013,6,6.0,0.0,0.0,11.0,-11.0,3.0,27.27,11.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0213023,25,25.0,0.0,0.0,50.0,-50.0,4.0,8.0,50.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0208016,17,17.0,0.0,0.0,33.0,-33.0,7.0,21.21,33.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0205019,9,9.0,0.0,0.0,16.0,-16.0,3.0,18.75,16.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0209037,5,5.0,0.0,0.0,10.0,-10.0,6.0,60.0,10.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210053,24,24.0,0.0,0.0,48.0,-48.0,6.0,12.5,48.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211049,55,55.0,0.0,0.0,106.0,-106.0,23.0,21.7,106.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0205044,69,69.0,0.0,0.0,138.0,-138.0,17.0,12.32,138.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0201005,54,54.0,0.0,0.0,103.0,-103.0,2.0,1.94,103.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0209040,4,4.0,0.0,0.0,8.0,-8.0,4.0,50.0,8.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0213010,1,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,2.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0201013,381,381.0,0.0,0.0,751.0,-751.0,65.0,8.66,751.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203041,8,8.0,0.0,0.0,16.0,-16.0,0.0,0.0,16.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204038,6,6.0,0.0,0.0,12.0,-12.0,2.0,16.67,12.0,2024-06-18 04:48:28.868147+00:00
